Comp = Championship, season = 2024, Regular Season - 27
Comp = Championship, season = 2024, Regular Season - 28
Comp = Championship, season = 2024, Regular Season - 29
Comp = Championship, season = 2024, Regular Season - 30
Comp = Championship, season = 2024, Regular Season - 31
Comp = Championship, season = 2024, Regular Season - 32
Comp = Championship, season = 2024, Regular Season - 33
Comp = Championship, season = 2024, Regular Season - 34
Comp = Championship, season = 2024, Regular Season - 35
Comp = Championship, season = 2024, Regular Season - 36
Comp = Championship, season = 2024, Regular Season - 37
Comp = Championship, season = 2024, Regular Season - 38
Comp = Championship, season = 2024, Regular Season - 39
Comp = Championship, season = 2024, Regular Season - 40
Comp = Championship, season = 2024, Regular Season - 41
Comp = Championship, season = 2024, Regular Season - 42
Comp = Championship, season = 2024, Regular Season - 43
Comp = Championship, season = 2024, Regular Season - 44
Comp = Championship, season = 2024, Regular Season - 45
Comp = Championship, season = 2024, Regular Season - 46
Comp = Ligue 1, season = 2021, Regular Season - 1
Comp = Ligue 1, season = 2021, Regular Season - 2
Comp = Ligue 1, season = 2021, Regular Season - 3
Comp = Ligue 1, season = 2021, Regular Season - 4
Comp = Ligue 1, season = 2021, Regular Season - 5
Comp = Ligue 1, season = 2021, Regular Season - 6
Comp = Ligue 1, season = 2021, Regular Season - 7
Comp = Ligue 1, season = 2021, Regular Season - 8
Comp = Ligue 1, season = 2021, Regular Season - 9
Comp = Ligue 1, season = 2021, Regular Season - 10
Comp = Ligue 1, season = 2021, Regular Season - 11
Comp = Ligue 1, season = 2021, Regular Season - 12
Comp = Ligue 1, season = 2021, Regular Season - 13
Comp = Ligue 1, season = 2021, Regular Season - 14
Comp = Ligue 1, season = 2021, Regular Season - 15
Comp = Ligue 1, season = 2021, Regular Season - 16
Comp = Ligue 1, season = 2021, Regular Season - 17
Comp = Ligue 1, season = 2021, Regular Season - 18
Comp = Ligue 1, season = 2021, Regular Season - 19
Comp = Ligue 1, season = 2021, Regular Season - 20
Comp = Ligue 1, season = 2021, Regular Season - 21
Comp = Ligue 1, season = 2021, Regular Season - 22
Comp = Ligue 1, season = 2021, Regular Season - 23
Comp = Ligue 1, season = 2021, Regular Season - 24
Comp = Ligue 1, season = 2021, Regular Season - 25
Comp = Ligue 1, season = 2021, Regular Season - 26
Comp = Ligue 1, season = 2021, Regular Season - 27
Comp = Ligue 1, season = 2021, Regular Season - 28
Comp = Ligue 1, season = 2021, Regular Season - 29
Comp = Ligue 1, season = 2021, Regular Season - 30
Comp = Ligue 1, season = 2021, Regular Season - 31
Comp = Ligue 1, season = 2021, Regular Season - 32
Comp = Ligue 1, season = 2021, Regular Season - 33
Comp = Ligue 1, season = 2021, Regular Season - 34
Comp = Ligue 1, season = 2021, Regular Season - 35
Comp = Ligue 1, season = 2021, Regular Season - 36
Comp = Ligue 1, season = 2021, Regular Season - 37
Comp = Ligue 1, season = 2021, Regular Season - 38
Comp = Ligue 1, season = 2021, Relegation Round
Comp = Ligue 1, season = 2022, Regular Season - 1
Comp = Ligue 1, season = 2022, Regular Season - 2
Comp = Ligue 1, season = 2022, Regular Season - 3
Comp = Ligue 1, season = 2022, Regular Season - 4
Comp = Ligue 1, season = 2022, Regular Season - 5
Comp = Ligue 1, season = 2022, Regular Season - 6
Comp = Ligue 1, season = 2022, Regular Season - 7
Comp = Ligue 1, season = 2022, Regular Season - 8
Comp = Ligue 1, season = 2022, Regular Season - 9
Comp = Ligue 1, season = 2022, Regular Season - 10
Comp = Ligue 1, season = 2022, Regular Season - 11
Comp = Ligue 1, season = 2022, Regular Season - 12
Comp = Ligue 1, season = 2022, Regular Season - 13
Comp = Ligue 1, season = 2022, Regular Season - 14
Comp = Ligue 1, season = 2022, Regular Season - 15
Comp = Ligue 1, season = 2022, Regular Season - 16
Comp = Ligue 1, season = 2022, Regular Season - 17
Comp = Ligue 1, season = 2022, Regular Season - 18
Comp = Ligue 1, season = 2022, Regular Season - 19
Comp = Ligue 1, season = 2022, Regular Season - 20
Comp = Ligue 1, season = 2022, Regular Season - 21
Comp = Ligue 1, season = 2022, Regular Season - 22
Comp = Ligue 1, season = 2022, Regular Season - 23
Comp = Ligue 1, season = 2022, Regular Season - 24
Comp = Ligue 1, season = 2022, Regular Season - 25
Comp = Ligue 1, season = 2022, Regular Season - 26
Comp = Ligue 1, season = 2022, Regular Season - 27
Comp = Ligue 1, season = 2022, Regular Season - 28
Comp = Ligue 1, season = 2022, Regular Season - 29
Comp = Ligue 1, season = 2022, Regular Season - 30
Comp = Ligue 1, season = 2022, Regular Season - 31
Comp = Ligue 1, season = 2022, Regular Season - 32
Comp = Ligue 1, season = 2022, Regular Season - 33
Comp = Ligue 1, season = 2022, Regular Season - 34
Comp = Ligue 1, season = 2022, Regular Season - 35
Comp = Ligue 1, season = 2022, Regular Season - 36
Comp = Ligue 1, season = 2022, Regular Season - 37
Comp = Ligue 1, season = 2022, Regular Season - 38
Comp = Ligue 1, season = 2023, Regular Season - 1
Comp = Ligue 1, season = 2023, Regular Season - 2
Comp = Ligue 1, season = 2023, Regular Season - 3
Comp = Ligue 1, season = 2023, Regular Season - 4
Comp = Ligue 1, season = 2023, Regular Season - 5
Comp = Ligue 1, season = 2023, Regular Season - 6
Comp = Ligue 1, season = 2023, Regular Season - 7
Comp = Ligue 1, season = 2023, Regular Season - 8
Comp = Ligue 1, season = 2023, Regular Season - 9
Comp = Ligue 1, season = 2023, Regular Season - 10
Comp = Ligue 1, season = 2023, Regular Season - 11
Comp = Ligue 1, season = 2023, Regular Season - 12
Comp = Ligue 1, season = 2023, Regular Season - 13
Comp = Ligue 1, season = 2023, Regular Season - 14
Comp = Ligue 1, season = 2023, Regular Season - 15
Comp = Ligue 1, season = 2023, Regular Season - 16
Comp = Ligue 1, season = 2023, Regular Season - 17
Comp = Ligue 1, season = 2023, Regular Season - 18
Comp = Ligue 1, season = 2023, Regular Season - 19
Comp = Ligue 1, season = 2023, Regular Season - 20
Comp = Ligue 1, season = 2023, Regular Season - 21
Comp = Ligue 1, season = 2023, Regular Season - 22
Comp = Ligue 1, season = 2023, Regular Season - 23
Comp = Ligue 1, season = 2023, Regular Season - 24
Comp = Ligue 1, season = 2023, Regular Season - 25
Comp = Ligue 1, season = 2023, Regular Season - 26
Comp = Ligue 1, season = 2023, Regular Season - 27
Comp = Ligue 1, season = 2023, Regular Season - 28
Comp = Ligue 1, season = 2023, Regular Season - 29
Comp = Ligue 1, season = 2023, Regular Season - 30
Comp = Ligue 1, season = 2023, Regular Season - 31
Comp = Ligue 1, season = 2023, Regular Season - 32
Comp = Ligue 1, season = 2023, Regular Season - 33
Comp = Ligue 1, season = 2023, Regular Season - 34
Comp = Ligue 1, season = 2023, Relegation Round
Comp = Ligue 1, season = 2024, Regular Season - 1
Comp = Ligue 1, season = 2024, Regular Season - 2
Comp = Ligue 1, season = 2024, Regular Season - 3
Comp = Ligue 1, season = 2024, Regular Season - 4
Comp = Ligue 1, season = 2024, Regular Season - 5
Comp = Ligue 1, season = 2024, Regular Season - 6
Comp = Ligue 1, season = 2024, Regular Season - 7
Comp = Ligue 1, season = 2024, Regular Season - 8
Comp = Ligue 1, season = 2024, Regular Season - 9
Comp = Ligue 1, season = 2024, Regular Season - 10
Comp = Ligue 1, season = 2024, Regular Season - 11
Comp = Ligue 1, season = 2024, Regular Season - 12
Comp = Ligue 1, season = 2024, Regular Season - 13
Comp = Ligue 1, season = 2024, Regular Season - 14
Comp = Ligue 1, season = 2024, Regular Season - 15
Comp = Ligue 1, season = 2024, Regular Season - 16
Comp = Ligue 1, season = 2024, Regular Season - 17
Comp = Ligue 1, season = 2024, Regular Season - 18
Comp = Ligue 1, season = 2024, Regular Season - 19
Comp = Ligue 1, season = 2024, Regular Season - 20
Comp = Ligue 1, season = 2024, Regular Season - 21
Comp = Ligue 1, season = 2024, Regular Season - 22
Comp = Ligue 1, season = 2024, Regular Season - 23
Comp = Ligue 1, season = 2024, Regular Season - 24
Comp = Ligue 1, season = 2024, Regular Season - 25
Comp = Ligue 1, season = 2024, Regular Season - 26
Comp = Ligue 1, season = 2024, Regular Season - 27
Comp = Ligue 1, season = 2024, Regular Season - 28
Comp = Ligue 1, season = 2024, Regular Season - 29
Comp = Ligue 1, season = 2024, Regular Season - 30
Comp = Ligue 1, season = 2024, Regular Season - 31
Comp = Ligue 1, season = 2024, Regular Season - 32
Comp = Ligue 1, season = 2024, Regular Season - 33
Comp = Ligue 1, season = 2024, Regular Season - 34
Comp = Ligue 2, season = 2021, Regular Season - 1
Comp = Ligue 2, season = 2021, Regular Season - 2
Comp = Ligue 2, season = 2021, Regular Season - 3
Comp = Ligue 2, season = 2021, Regular Season - 4
Comp = Ligue 2, season = 2021, Regular Season - 5
Comp = Ligue 2, season = 2021, Regular Season - 6
Comp = Ligue 2, season = 2021, Regular Season - 7
Comp = Ligue 2, season = 2021, Regular Season - 8
